key,en,hi
"onboardingGateTimeoutMessage","Loading is taking longer than expected.","लोडिंग में सामान्य से अधिक समय लग रहा है।"
"onboardingMobileLabel","Mobile number","मोबाइल नंबर"
"onboardingProfileSaveFailure","We could not save your profile right now. Review the details and retry shortly.","अभी आपकी प्रोफ़ाइल सेव नहीं हो सकी। विवरण जांचकर थोड़ी देर बाद फिर कोशिश करें।"
"onboardingRoleQuestion","Which role fits your work?","आपके काम के लिए कौन-सा role सही है?"
"onboardingRoleSaveFailure","We could not save your role right now. Retry shortly.","अभी आपका role save नहीं हो सका। थोड़ी देर बाद फिर कोशिश करें।"
"onboardingRoleSubtitle","Your role decides the tools, dashboard, and workflows TranZfort will prepare for you.","आपकी भूमिका तय करेगी कि TranZfort आपके लिए कौन-से tools, डैशबोर्ड और workflows तैयार करेगा।"
"onboardingRoleWorkspaceFailure","We could not prepare your role workspace right now. Retry shortly after selecting your role again.","अभी आपका role workspace तैयार नहीं हो सका। अपना role फिर चुनकर थोड़ी देर बाद फिर कोशिश करें।"
"onboardingSaveAndContinue","Save and continue","सहेजकर आगे बढ़ें"
"onboardingSelectRoleError","Select whether you are joining as a supplier or trucker.","चुनें कि आप supplier के रूप में जुड़ रहे हैं या trucker के रूप में।"
"onboardingSupplierSubtitle","Post loads, review bookings, manage trips, and track delivery follow-through.","लोड्स पोस्ट करें, बुकिंग्स रिव्यू करें, ट्रिप्स मैनेज करें और डिलीवरी फॉलो-थ्रू ट्रैक करें।"
"onboardingSupplierTitle","Supplier","सप्लायर"
"onboardingTermsAcceptance","By continuing, you confirm that your basic profile details are accurate and that you agree to the platform terms.","आगे बढ़कर आप पुष्टि करते हैं कि आपकी basic profile details सही हैं और आप platform terms से सहमत हैं।"
